No_Of_Owners,car_age,Mileage,Fuel_Type,Kilomerters_driven,Price,Features_encoded,Model_encoded,location_encoded
3,10,19.16,4,11.156264806643742,2.3749057545736716,72,241,224
1,7,22.7,4,10.08505882793938,1.297463147413275,125,36,210
1,3,19.03,4,8.867990898182093,1.9387416595767009,155,205,220
2,13,17.0,4,11.178501129966316,1.172482137234565,191,82,220
2,10,15.73,1,10.819798284210286,2.5649493574615367,72,7,224
1,6,20.52,4,10.480943258599881,1.6582280766035324,155,163,211
2,4,20.3,4,9.348100311680668,1.9401794743463283,81,73,224
1,6,25.17,4,10.34177474101152,1.252762968495368,81,204,224
2,13,17.5,4,10.621473676442992,1.1662709371419244,173,160,210
1,14,18.9,4,11.003032739252838,1.1249295969854831,20,163,220
1,11,18.6,4,11.08223485230999,1.4134230285081433,91,159,221
1,2,22.3,4,7.885329239273191,1.7298840655099674,125,204,253
1,13,19.81,4,9.680406499268875,1.1151415906193203,129,81,220
1,1,14.6,1,8.912877287669296,3.1245651453969594,81,220,224
1,6,21.4,4,10.205331372394003,2.005525858729668,153,140,253
1,3,15.04,1,10.31231367277647,3.6506582412937387,73,246,253
1,2,24.35,4,9.105090961257085,1.864080130807681,121,163,220
1,2,21.0,4,9.741027444837728,2.1400661634962708,81,82,224
1,3,17.1,1,10.803669227477098,2.8622008809294686,79,92,220
2,15,19.81,4,10.463131911491967,1.1786549963416462,243,81,226
2,4,19.255853130413264,1,10.308985993422082,4.109233174715851,75,103,192
1,7,23.95,4,10.897572311850304,1.423108334242607,79,139,223
1,3,17.33,4,8.77971129020447,2.196112848483529,206,228,216
1,7,20.73,4,10.280553186122594,1.8341801851120072,153,145,220
2,4,19.255853130413264,1,10.308985993422082,4.109233174715851,75,103,192
1,8,18.0,4,10.372521962240313,2.0476928433652555,79,57,224
2,5,20.7,4,10.695370855832223,1.9629077254238845,81,71,224
1,14,17.0,4,11.002116507732017,1.0612565021243408,189,82,192
1,6,14.8,4,10.127031023871664,2.388762789235098,81,66,226
1,4,22.38,4,10.746562222079024,1.8468787684491346,150,159,220
1,6,13.0,4,10.714439990727769,2.1972245773362196,81,66,224
1,4,17.7,4,10.360215954581834,2.382320061012899,81,78,224
1,10,23.1,4,10.933214106835043,1.3376291891386096,129,143,253
1,3,21.79,4,9.21094019204815,1.8484548129046001,155,163,231
1,7,18.9,4,10.625319366955983,1.749199854809259,79,70,220
1,4,16.1,1,9.789198406134,3.9889840465642745,150,176,207
1,5,17.1,4,8.24301946898925,2.0731719286662407,74,253,226
1,6,21.79,4,10.437785532487261,1.599387576580599,155,163,253
2,12,21.9,1,10.819798284210286,1.0986122886681098,188,82,220
1,6,17.4,4,10.782470939599769,2.1400661634962708,81,57,224
3,5,17.3,1,9.90353755128617,2.3749057545736716,121,119,192
1,6,19.0,4,10.93947947922257,1.7578579175523736,0,160,219
1,14,17.5,4,11.002116507732017,1.2383742310432684,173,160,220
1,2,21.01,4,9.267287652417933,2.102913897864978,155,140,219
2,12,13.1,4,10.819798284210286,1.55814461804655,179,58,117
1,14,17.5,4,11.002116507732017,1.2383742310432684,173,160,220
1,4,19.255853130413264,4,9.778094383128066,2.5756610130564646,81,66,223
1,6,27.28,1,9.90353755128617,1.6845453849209058,79,236,224
1,3,20.7,4,9.12238309321704,2.143589361503588,81,71,253
2,8,18.0,4,11.097106944782572,1.5303947050936475,163,53,224
1,10,20.5,1,11.082157933374816,1.3862943611198906,129,215,224
2,4,22.5,4,8.97979449089521,1.5871923034867808,125,36,220
4,14,19.255853130413264,4,11.51293546492023,0.7654678421395714,250,74,211
1,13,16.07,1,10.596659732783579,2.2669579153508947,72,13,226
2,13,14.6,4,11.002116507732017,1.0473189942805592,79,38,197
1,5,20.37,1,9.896462937599164,3.7013019741124933,71,16,253
1,1,12.1,4,8.910045761473558,4.151039905898646,74,95,20
1,8,15.4,4,10.876593305964516,1.9740810260220096,79,54,253
1,9,15.85,4,11.002116507732017,1.5040773967762742,155,45,253
1,5,18.9,4,10.373522431293592,1.7298840655099674,79,70,219
2,7,18.7,4,10.773524899892822,1.6331544390514163,79,59,220
2,5,23.95,4,9.279679850054796,1.55814461804655,122,139,219
1,9,25.1,1,10.62135173563291,1.9754689512968577,79,57,224
2,4,20.3,4,9.77678989949017,1.691939133945844,125,73,210
1,3,21.74,4,9.129347212766652,1.6524974018945473,125,204,253
1,5,17.5,4,11.156264806643742,1.8718021769015913,81,62,224
1,5,22.38,4,9.261033486291701,1.864080130807681,150,159,219
2,10,17.1,4,10.819798284210286,1.7047480922384253,79,78,224
1,2,35.6,0,9.898876939978445,1.9416152247724325,152,143,224
